"","Group","site","status","replicate","complexity","depth","x20","x30","x40","x45","x50","x55","x60","x65","x70","x75","x80","x85","x100","x110"
"138","S C J","Salmon West","In",3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"139","S C J","Salmon West","In",4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"140","S C J","Salmon West","In",5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"141","S C J","Salmon West","In",6,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"142","S C J","Salmon West","In",7,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"143","S C J","Salmon West","In",8,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"144","S C J","Salmon West","In",9,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"145","S C J","Salmon West","In",10,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"146","Todd","Green Island IN","In",1,2,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"147","Todd","Green Island IN","In",2,3,2.5,0,0,0,0,0,0,0,0,6,0,15,0,0,0
"148","Todd","Green Island IN","In",3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"149","Todd","Green Island IN","In",4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"150","Todd","Green Island IN","In",5,3,3.5,0,1,0,0,0,0,4,0,0,1,0,0,0,0
"151","Todd","Green Island IN","In",6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"152","Todd","Green Island IN","In",7,3,3,0,0,0,0,0,0,0,0,2,0,3,1,0,0
"153","Todd","Green Island IN","In",8,3,2,0,0,0,0,0,0,0,0,0,0,4,3,0,0
"154","Todd","Green Island IN","In",9,2,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"155","Todd","Green Island IN","In",10,2,3.5,0,0,0,0,0,0,3,0,0,2,0,0,0,0
"156","Todd","Green Island IN","In",11,3,3.5,0,0,0,0,0,0,0,0,0,2,6,4,0,0
"157","E M R","West Salmon","In",1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"158","E M R","West Salmon","In",2,3,4,0,0,0,0,0,0,1,1,0,1,1,0,0,0
"159","E M R","West Salmon","In",3,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"160","E M R","West Salmon","In",4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"161","E M R","West Salmon","In",5,3,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"162","E M R","West Salmon","In",6,4,3.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"163","E M R","West Salmon","In",7,2,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"164","E M R","West Salmon","In",8,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"165","E M R","West Salmon","In",9,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"166","E M R","West Salmon","In",10,4,4,0,0,0,0,0,0,1,1,0,1,0,0,0,0
